ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Faculteit,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10104860,M,10,3048,B Biologie,FNWI,1-9-2010,0,AC,MATR,25-7-2010,31-8-2013,0,SP,SPND,10-1-2014,410,304815,B,14-10-2013,Z,14-10-2013,30-8-2013
10118373,M,10,3048,B Biologie,FNWI,1-9-2010,0,AC,MATR,15-8-2010,31-8-2011,0,SP,SPND,11-5-2012,410,,,,,,
10182195,M,10,3048,B Biologie,FNWI,1-9-2011,0,AC,MATR,19-8-2011,31-8-2015,0,SP,SPND,13-11-2015,410,304815,B,16-9-2015,Z,16-9-2015,31-8-2015
10190503,M,10,3048,B Biologie,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2015,0,SP,SPND,24-7-2015,410,304815,B,15-6-2015,Z,15-6-2015,11-6-2015
10192840,F,10,3048,B Biologie,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2015,0,SP,SPND,20-1-2016,410,304815,B,18-8-2015,Z,18-8-2015,7-8-2015
10198822,M,10,3048,B Biologie,FNWI,1-9-2012,1,AC,MATR,13-6-2012,31-8-2016,1,SP,SPND,3-6-2016,410,304815,B,7-6-2016,Z,7-6-2016,2-6-2016
10205438,M,10,3048,B Biologie,FNWI,1-9-2012,1,AC,MATR,13-6-2012,1-9-2016,2,AC,MATR,1-5-2016,120,,,,,,
10209735,M,10,3048,B Biologie,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-1-2012,0,DC,DISC,9-2-2012,391,,,,,,
10249060,M,10,3048,B Biologie,FNWI,1-9-2011,0,AC,MATR,21-6-2011,31-8-2015,0,SP,SPND,20-1-2016,410,304815,B,17-4-2015,Z,17-4-2015,14-4-2015
10289291,M,10,3048,B Biologie,FNWI,1-9-2013,1,AC,MATR,4-7-2013,31-8-2016,1,SP,SPND,26-10-2016,410,304815,B,5-10-2016,Z,5-10-2016,20-8-2016
10361561,F,10,3048,B Biologie,FNWI,1-9-2012,0,AC,MATR,5-5-2012,1-9-2012,0,AC,MATR,5-5-2012,120,,,,,,
10400826,F,10,3048,B Biologie,FNWI,1-9-2012,0,AC,MATR,31-5-2012,28-2-2017,1,DC,VDIS,14-3-2017,200,304815,B,17-3-2017,Z,17-3-2017,28-2-2017
10410651,F,10,3048,B Biologie,FNWI,1-9-2012,0,AC,MATR,4-6-2012,31-8-2016,0,SP,SPND,26-10-2016,410,304815,B,9-6-2016,Z,9-6-2016,11-5-2016
10411259,M,10,3048,B Biologie,FNWI,1-9-2012,0,AC,MATR,5-6-2012,31-8-2016,0,SP,SPND,8-7-2016,410,304815,B,5-10-2016,Z,5-10-2016,31-8-2016
10456201,M,10,3048,B Biologie,FNWI,1-9-2013,1,AC,MATR,25-8-2013,31-8-2016,1,SP,SPND,28-10-2016,410,304815,B,5-10-2016,Z,5-10-2016,8-8-2016
10461388,M,10,3048,B Biologie,FNWI,1-9-2012,0,AC,MATR,7-8-2012,1-9-2012,0,AC,MATR,7-8-2012,120,,,,,,
10535845,F,10,3048,B Biologie,FNWI,1-9-2014,1,AC,MATR,17-4-2014,1-9-2014,1,AC,MATR,17-4-2014,120,,,,,,
10838805,F,10,3048,B Biologie,FNWI,1-9-2014,0,AC,MATR,21-5-2014,1-9-2014,0,AC,MATR,21-5-2014,120,,,,,,
5756510,M,10,3048,B Biologie,FNWI,1-9-2007,0,AC,ACTV,5-4-2010,31-12-2007,0,DC,DISC,5-4-2010,310,,,,,,
5909856,M,10,3048,B Biologie,FNWI,1-9-2008,0,AC,ACTV,5-4-2010,31-8-2011,0,DC,VDIS,19-3-2012,210,304815,B,12-10-2011,Z,12-10-2011,31-8-2011
6084087,F,10,3048,B Biologie,FNWI,1-9-2010,1,AC,MATR,13-8-2010,31-8-2013,1,SP,SPND,10-1-2014,410,304815,B,15-7-2013,Z,15-7-2013,31-7-2013
10000528,M,10,3058,B Biomedische wetenschappen,FNWI,1-9-2012,1,AC,MATR,30-7-2012,31-8-2013,1,SP,SPND,25-9-2013,410,,,,,,
10004547,M,10,3058,B Biomedische wetenschappen,FNWI,1-9-2010,0,AC,MATR,8-6-2010,31-8-2011,0,SP,SPND,31-8-2011,410,,,,,,
10078029,M,10,3058,B Biomedische wetenschappen,FNWI,1-9-2010,0,AC,MATR,28-6-2010,31-7-2011,0,DC,DISC,27-7-2011,392,,,,,,
10346562,M,10,3058,B Biomedische wetenschappen,FNWI,1-9-2012,0,AC,MATR,18-7-2012,31-8-2016,0,SP,SPND,21-7-2016,410,305815,B,22-7-2016,Z,22-7-2016,14-6-2016
10535845,F,10,3058,B Biomedische wetenschappen,FNWI,1-9-2013,0,AC,MATR,22-7-2013,31-8-2014,0,SP,SPND,19-11-2014,410,,,,,,
11153644,M,10,3058,B Biomedische wetenschappen,FNWI,1-9-2015,0,AC,MATR,27-8-2015,1-9-2015,0,AC,MATR,27-8-2015,120,,,,,,
5802741,M,10,3058,B Biomedische wetenschappen,FNWI,1-9-2007,0,AC,ACTV,5-4-2010,31-8-2010,0,SP,SPND,3-12-2010,410,,,,,,
