ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10670602,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10680195,M,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,1-5-2016,1-9-2016,0,AC,MATR,1-5-2016,120,,,,,,
10686142,M,15,4119,M Software Engineering,1-9-2017,0,AC,MATR,5-12-2016,1-9-2017,0,AC,MATR,5-12-2016,120,,,,,,
10694676,F,15,4121,M Artificial Intelligence,1-9-2015,0,AC,MATR,20-8-2015,1-9-2015,0,AC,MATR,20-8-2015,VUIN,,,,,,
10699856,F,15,4120,M Information Studies,1-9-2016,0,AC,MATR,12-8-2016,1-9-2017,1,AC,MATR,5-3-2017,120,,,,,,
10737286,M,15,4119,M Software Engineering,1-9-2017,0,AC,MATR,27-3-2017,1-9-2017,0,AC,MATR,27-3-2017,120,,,,,,
10744185,M,15,4120,M Information Studies,1-9-2017,0,AC,MATR,15-1-2017,1-9-2017,0,AC,MATR,15-1-2017,120,,,,,,
10766162,M,15,4119,M Software Engineering,1-9-2017,0,AC,MATR,14-2-2017,1-9-2017,0,AC,MATR,14-2-2017,120,,,,,,
10781889,F,15,4120,M Information Studies,1-9-2017,0,AC,MATR,9-10-2016,1-9-2017,0,AC,MATR,9-10-2016,120,,,,,,
10800395,F,15,4120,M Information Studies,1-9-2017,0,AC,MATR,4-3-2017,1-9-2017,0,AC,MATR,4-3-2017,120,,,,,,
10823778,M,15,4132,M Computational Science,1-9-2015,0,AC,MATR,20-8-2015,31-8-2016,0,SP,SPND,17-11-2016,410,,,,,,
10823778,M,15,4278,M Computer Science (jd),1-9-2016,1,AC,MATR,14-7-2016,1-9-2016,1,AC,MATR,14-7-2016,VUIN,,,,,,
